trial,migration_idx,sub_id,seed,trial_seed,encrypted,old_closest_pub,new_optimal_pub,received_pub,converged,convergence_ms,migration_class
24,17,35,42,66,1,0,2,2,1,0.598766,closer
24,18,37,42,66,1,9,4,-1,0,-1,farther
24,19,7,42,66,1,1,14,14,1,0.403961,closer
24,19,12,42,66,1,4,14,14,1,0.429095,closer
25,0,6,42,67,1,5,3,-1,0,-1,farther
25,0,19,42,67,1,5,3,-1,0,-1,farther
25,0,22,42,67,1,18,5,5,1,0.554716,closer
25,0,27,42,67,1,5,3,-1,0,-1,farther
25,0,31,42,67,1,5,3,-1,0,-1,farther
25,0,46,42,67,1,5,3,-1,0,-1,farther
25,0,47,42,67,1,18,5,5,1,0.556108,closer
25,1,7,42,67,1,2,13,13,1,0.179054,closer
25,1,10,42,67,1,13,19,-1,0,-1,farther
25,1,11,42,67,1,2,13,13,1,0.206972,closer
25,1,38,42,67,1,18,13,13,1,0.233519,closer
25,1,45,42,67,1,18,13,13,1,0.257672,closer
25,1,49,42,67,1,18,13,13,1,0.285429,closer
25,2,7,42,67,1,13,4,4,1,0.173046,closer
25,2,11,42,67,1,13,4,4,1,0.174057,closer
25,2,17,42,67,1,4,19,-1,0,-1,farther
25,2,20,42,67,1,10,4,4,1,0.174878,closer
25,2,23,42,67,1,2,4,4,1,0.175739,closer
25,2,26,42,67,1,4,19,-1,0,-1,farther
25,3,25,42,67,1,3,15,-1,0,-1,farther
25,3,32,42,67,1,12,3,3,1,2.78755,closer
25,4,8,42,67,1,10,2,2,1,0.243312,closer
25,4,12,42,67,1,10,2,2,1,0.244443,closer
25,4,21,42,67,1,2,3,-1,0,-1,farther
25,4,24,42,67,1,10,2,2,1,0.245405,closer
25,4,34,42,67,1,10,2,2,1,0.246306,closer
25,4,37,42,67,1,2,18,-1,0,-1,farther
25,4,48,42,67,1,10,2,2,1,0.246957,closer
25,5,8,42,67,1,2,10,-1,0,-1,farther
25,5,12,42,67,1,2,10,-1,0,-1,farther
25,5,21,42,67,1,2,3,-1,0,-1,farther
25,5,24,42,67,1,2,10,-1,0,-1,farther
25,5,34,42,67,1,2,10,-1,0,-1,farther
25,5,37,42,67,1,2,18,-1,0,-1,farther
25,5,48,42,67,1,2,10,-1,0,-1,farther
25,6,6,42,67,1,5,15,-1,0,-1,farther
25,6,19,42,67,1,5,15,-1,0,-1,farther
25,6,22,42,67,1,5,18,-1,0,-1,farther
25,6,27,42,67,1,5,1,-1,0,-1,farther
25,6,31,42,67,1,5,15,-1,0,-1,farther
25,6,32,42,67,1,3,5,5,1,0.424759,closer
25,6,35,42,67,1,12,5,5,1,0.42578,closer
25,6,46,42,67,1,5,1,-1,0,-1,farther
25,6,47,42,67,1,5,18,-1,0,-1,farther
25,7,0,42,67,1,1,6,-1,0,-1,farther
25,7,20,42,67,1,4,1,1,1,0.305857,closer
25,8,15,42,67,1,10,4,-1,0,-1,farther
25,8,17,42,67,1,4,10,10,1,1.69018,closer
25,8,40,42,67,1,10,5,-1,0,-1,farther
25,9,11,42,67,1,4,15,15,1,0.660841,closer
25,9,45,42,67,1,13,15,15,1,0.662543,closer
25,10,0,42,67,1,1,6,-1,0,-1,farther
25,10,13,42,67,1,12,1,1,1,0.291077,closer
25,10,20,42,67,1,1,4,-1,0,-1,farther
25,10,34,42,67,1,2,1,1,1,0.292269,closer
25,10,48,42,67,1,2,1,1,1,0.29294,closer
25,11,6,42,67,1,5,5,-1,0,-1,farther
25,11,19,42,67,1,5,5,-1,0,-1,farther
25,11,22,42,67,1,5,18,-1,0,-1,farther
25,11,27,42,67,1,5,5,-1,0,-1,farther
25,11,31,42,67,1,5,5,-1,0,-1,farther
25,11,32,42,67,1,5,10,-1,0,-1,farther
25,11,35,42,67,1,5,12,-1,0,-1,farther
25,11,41,42,67,1,9,5,5,1,0.254397,closer
25,11,46,42,67,1,5,5,-1,0,-1,farther
25,11,47,42,67,1,5,18,-1,0,-1,farther
