seed,trial,trial_seed,num_pubs,num_subs,brake_limit,sub_id,sub_lat,sub_lon,sub_broker,optimal_pub_id,optimal_dist,received,received_pub_id,received_dist,stretch,recall
42,2,44,20,50,2,34,74.1173,-91.0322,1,14,12.5198,1,1,36.8212,2.94104,0
42,2,44,20,50,2,35,-83.1311,-16.8398,1,12,3.15746,1,12,3.15746,1,1
42,2,44,20,50,2,36,-13.2216,-9.54054,1,8,34.6219,1,5,38.5291,1.11285,0
42,2,44,20,50,2,37,71.6131,169.439,2,3,7.69867,1,3,7.69867,1,1
42,2,44,20,50,2,38,70.9881,-82.5374,1,19,14.2252,1,1,39.9912,2.8113,0
42,2,44,20,50,2,39,-19.5019,-22.7196,1,8,47.7009,1,5,49.3888,1.03538,0
42,2,44,20,50,2,40,-75.346,60.7653,2,6,10.0913,1,6,10.0913,1,1
42,2,44,20,50,2,41,-36.1798,-63.559,1,10,32.7384,1,4,46.5078,1.42059,0
42,2,44,20,50,2,42,5.59452,-60.0145,1,4,55.1284,1,4,55.1284,1,1
42,2,44,20,50,2,43,50.8847,97.0014,2,16,12.9809,1,0,28.3339,2.18273,0
42,2,44,20,50,2,44,-6.2775,-24.3243,1,8,49.646,1,5,54.7637,1.10308,0
42,2,44,20,50,2,45,-84.1983,25.9048,2,12,2.32381,1,6,20.8093,8.95482,0
42,2,44,20,50,2,46,27.6183,-122.294,1,7,13.8138,1,7,13.8138,1,1
42,2,44,20,50,2,47,74.4483,-32.5483,1,19,7.31463,1,0,53.3903,7.29911,0
42,2,44,20,50,2,48,-69.7479,-4.47507,1,13,5.20444,1,12,15.8511,3.04569,0
42,2,44,20,50,2,49,-45.4176,-171.261,1,9,38.1242,1,2,42.3545,1.11096,0
42,3,45,20,50,2,0,-78.1432,-95.4746,1,16,4.04367,1,4,27.7225,6.85578,0
42,3,45,20,50,2,1,15.6532,31.4287,2,3,56.5953,1,3,56.5953,1,1
42,3,45,20,50,2,2,4.60692,59.2089,2,3,44.7191,1,3,44.7191,1,1
42,3,45,20,50,2,3,-49.2989,-125.243,1,10,7.6784,1,4,29.228,3.80653,0
42,3,45,20,50,2,4,0.635361,-47.0789,1,6,28.3944,1,6,28.3944,1,1
42,3,45,20,50,2,5,68.6242,70.9148,2,13,5.84932,1,3,31.0096,5.30141,0
